SongName,ArtistName,Popularity,Danceability,Energy,Key,Loudness,Liveness,Valence,Tempo,Duration_ms
Good Life,Billie Eilish,38,0.32,0.0103,9,-34.773,0.107,0.236,84.048,61134
I Want You To Know,Joel Corry,42,0.276,0.0985,5,-28.017,0.0795,0.125,134.587,66448
Lose You To Love Me,Gryffin,42,0.276,0.0985,5,-28.017,0.0795,0.125,134.587,66448
Love Runs Out,Carlos Rafael Rivera,42,0.276,0.0985,5,-28.017,0.0795,0.125,134.587,66448
Alright,Ariana Grande,41,0.353,0.149,2,-24.372,0.16,0.3,155.846,72908
WAP,Ludovico Einaudi,41,0.437,0.022,11,-29.447,0.11,0.0791,99.971,74046
In Your Arms,Carlos Rafael Rivera,41,0.322,0.257,5,-19.638,0.0889,0.0378,60.344,78496
Ceiling Games,Alan Walker,40,0.149,0.00501,2,-29.404,0.0903,0.0364,77.257,78943
Moana,Jonas Blue,40,0.149,0.00502,2,-29.404,0.0903,0.0364,77.257,78943
Going Bad,Billie Eilish,79,0.748,0.734,0,-6.499,0.0975,0.368,97.753,80081
Hanuman Chalisa,Ed Sheeran,63,0.71,0.415,8,-9.561,0.149,0.418,92.016,86749
Sleepover,Imagine Dragons,39,0.398,0.0127,0,-31.618,0.084,0.0492,119.963,90363
Mockingbird,Jonas Blue,39,0.149,0.0328,7,-31.586,0.11,0.0355,104.583,96924
Take Me To Church,The Chainsmokers,39,0.149,0.0328,7,-31.586,0.11,0.0356,104.583,96924
You Are The Reason,Jax Jones,39,0.149,0.0328,7,-31.586,0.11,0.0356,104.583,96924
Playing Townes,Ellie Goulding,49,0.598,0.43,11,-11.236,0.0924,0.0843,91.923,98508
Sick Boy,Olivia Rodrigo,78,0.658,0.445,0,-8.749,0.0845,0.513,174.111,103240
All Too Well,Ariana Grande,50,0.472,0.612,0,-10.982,0.41,0.499,92.998,109896
Gone Gone Gone,Billie Eilish,50,0.472,0.612,0,-10.982,0.41,0.499,92.998,109896
Cheating on You,Alan Walker,87,0.592,0.457,9,-6.081,0.146,0.225,146.04,110886
Everybody Dies In Their Nightmares,Conan Gray,87,0.592,0.457,9,-6.081,0.146,0.225,146.04,110886
Lonely Together,Stateless,87,0.592,0.457,9,-6.081,0.146,0.225,146.04,110886
